source_type,mece_bucket,project,org_or_vendor,open_source,primary_url,stars_snapshot,recent_3m_scope_pass,recent_signal_90d,macos_surface,autonomy_signal,claw_affinity,strict_github_filter_pass,strict_fail_reason,non_github_macos_app_pass,evidence_summary,source_urls,confidence,TODO
github_open_source,claw_native_personal_agent,OpenClaw,openclaw,True,https://github.com/openclaw/openclaw,314k*,True,Release/commits in Mar 2026,macOS app + CLI,"24/7 personal assistant, channels, cron, daemon install",direct_claw,True,,,Personal AI assistant; can speak/listen on macOS; recommended macOS CLI wizard and daemon install; releases mention macOS app/chat UI and onboarding fixes.,https://github.com/openclaw/openclaw | https://github.com/openclaw/openclaw/releases,medium,DONE
github_open_source,claw_native_personal_agent,ZeroClaw,zeroclaw-labs,True,https://github.com/zeroclaw-labs/zeroclaw,27.2k,True,Updated Feb-Mar 2026,CLI / daemon / static binary,Fully autonomous assistant/runtime OS; service install; deploy anywhere,direct_claw,True,,,"Fast, small, fully autonomous AI assistant/runtime OS; macOS prerequisites documented; native static binary and daemon/service install.",https://github.com/zeroclaw-labs/zeroclaw | https://github.com/zeroclaw-labs/zeroclaw/releases,high,DONE
github_open_source,claw_native_personal_agent,Hermes Agent,NousResearch,True,https://github.com/NousResearch/hermes-agent,7.4k,True,Published/active in Mar 2026,CLI / server agent,Self-improving persistent agent; scheduled automations; learns skills,direct_claw,True,,,"Self-improving agent with learning loop, persistent memory, and scheduled automations; quick install supports Linux/macOS/WSL2.",https://github.com/NousResearch/hermes-agent,high,DONE
github_open_source,claw_desktop_wrapper,ClawX,ValueCell-ai,True,https://github.com/ValueCell-ai/ClawX,4.4k,True,Published last month,desktop app,GUI for OpenClaw agents; scheduling and management from desktop,direct_claw,True,,,Desktop app that turns OpenClaw CLI orchestration into a GUI desktop experience; aimed at running and managing agents without terminal.,https://github.com/ValueCell-ai/ClawX | https://github.com/ValueCell-ai/ClawX/releases,medium,DONE
github_open_source,claw_like_desktop_multiagent,AionUi,iOfficeAI,True,https://github.com/iOfficeAI/AionUi,17.9k-19k,True,Updated hours ago / last week,desktop app,Built-in agent engine; automated task execution; works on install,close_claw_alt,True,,,Free open-source Cowork desktop app; ships with complete agent engine; no CLI setup required; positions itself as OpenClaw/Cowork style multi-agent desktop.,https://github.com/iOfficeAI/AionUi | https://github.com/iOfficeAI/AionUi/wiki/Home/Home.md | https://github.com/iOfficeAI/AionUi/releases,high,DONE
github_open_source,claw_like_agent_os,OpenFang,RightNow-AI,True,https://github.com/RightNow-AI/openfang,14.4k-14.5k,True,Published 2 weeks ago,desktop app + daemon + WebChat,Full operating system for autonomous agents,close_claw_alt,True,,,"Open-source Agent Operating System built in Rust; docs include macOS desktop app (.dmg), system tray, auto-updates, notifications, daemon, and agent spawning.",https://github.com/RightNow-AI/openfang | https://github.com/RightNow-AI/openfang/blob/main/docs/getting-started.md,high,DONE
github_open_source,local_general_agent,agenticSeek,Fosowl,True,https://github.com/Fosowl/agenticSeek,25.5k,,Updated Mar 2 2026,local app / likely CLI,"Local voice-enabled agent that browses web, writes code, plans tasks autonomously",close_claw_alt,False,macOS install path not explicit in captured evidence,,"100% local Manus-style assistant; autonomous browsing, coding, planning; strong claw-adjacent local-agent positioning.",https://github.com/Fosowl/agenticSeek,medium,DONE
github_open_source,local_general_agent,OpenManus,FoundationAgents,True,https://github.com/FoundationAgents/OpenManus,,True,Active in Mar 2026,CLI / Python app,General-purpose open agent; multi-agent workflows,close_claw_alt,False,star count not cleanly captured in current evidence,,"Open-source agent platform / Manus replication; installation via conda/uv; run main.py, run_mcp.py, run_flow.py for multi-agent flows.",https://github.com/FoundationAgents/OpenManus,medium,DONE
github_open_source,local_ai_workspace,AnythingLLM,Mintplex-Labs,True,https://github.com/Mintplex-Labs/anything-llm,56.3k,,Latest release Mar 2 2026,desktop app (Mac/Win/Linux),"Workspace agents, agent builder, local/private deployment",supplementary_open_alt,False,autonomous agent criteria weaker than direct agent apps,,"Desktop app for Mac/Windows/Linux; includes no-code AI agent builder, custom AI agents, and agents inside workspace.",https://github.com/Mintplex-Labs/anything-llm | https://github.com/Mintplex-Labs/anything-llm/releases,high,DONE
github_open_source,agent_infra_macos,osaurus,osaurus-ai,True,https://github.com/osaurus-ai/osaurus,4.3k,True,Updated within days,native macOS infra / MCP server,Gives AI agents access to installed tools on macOS,supplementary_open_alt,False,more MCP/tooling infra than standalone auto-agent app,,AI edge infrastructure for macOS; full MCP server that lets AI agents access installed tools.,https://github.com/osaurus-ai/osaurus,medium,DONE
github_open_source,coding_agent_cli_desktop,OpenCode,sst,True,https://github.com/sst/opencode,122k,True,Active in Mar 2026,terminal / TUI / client-server,Open-source coding agent in terminal,close_claw_alt,True,,,Open-source coding agent focused on terminal/TUI with local execution.,https://github.com/sst/opencode,high,DONE
github_open_source,coding_agent_cli_desktop,Gemini CLI,google-gemini,True,https://github.com/google-gemini/gemini-cli,96.6k,True,Updated last week / days,CLI,Open-source AI agent in terminal,close_claw_alt,True,,,Open-source AI agent in terminal; installation docs and active development.,https://github.com/google-gemini/gemini-cli | https://github.com/google-gemini/gemini-cli/blob/main/docs/get-started/installation.md,high,DONE
github_open_source,coding_agent_cli_desktop,OpenHands,All-Hands-AI,True,https://github.com/All-Hands-AI/OpenHands,69.1k,,Latest release Mar 11 2026,local GUI + CLI + SDK,Runs locally; coding agent for software tasks,close_claw_alt,True,,,"Open source platform for software development agents; repo offers SDK, CLI, and Local GUI for running on your own laptop.",https://github.com/All-Hands-AI/OpenHands,high,DONE
github_open_source,coding_agent_cli_desktop,Open Interpreter,OpenInterpreter,True,https://github.com/OpenInterpreter/open-interpreter,62.7k,True,Active in Mar 2026,CLI,Natural-language computer interface with auto-run mode,close_claw_alt,True,,,Runs on your computer from terminal; supports interpreter -y / auto_run for reduced confirmation flows.,https://github.com/OpenInterpreter/open-interpreter,high,DONE
github_open_source,coding_agent_cli_desktop,Goose,block,True,https://github.com/block/goose,33k,True,Active in Mar 2026,desktop app + CLI,Extensible AI agent for desktop and terminal,close_claw_alt,True,,,Open-source AI agent with desktop app and CLI; positioned as extensible coding/workflow agent.,https://github.com/block/goose,high,DONE
github_open_source,coding_agent_cli_desktop,Continue,continuedev,True,https://github.com/continuedev/continue,31.8k,True,Last week / days,CLI + IDE,Terminal coding agent; headless background agents; agents on PRs,supplementary_open_alt,True,,,Continue CLI is a terminal-based coding agent; repo also mentions TUI mode and headless mode for background agents; high-star open source project.,https://github.com/continuedev/continue | https://github.com/continuedev/continue/releases | https://github.com/continuedev/continue/blob/main/docs/cli/quickstart.mdx,high,DONE
github_open_source,coding_agent_cli_desktop,SWE-agent,SWE-agent,True,https://github.com/SWE-agent/SWE-agent,18.7k,True,Active in Mar 2026,CLI / local run,Automatically fixes GitHub issues,close_claw_alt,True,,,Autonomous software engineering agent that automatically fixes GitHub issues.,https://github.com/SWE-agent/SWE-agent,high,DONE
github_open_source,coding_agent_cli_desktop,superset,superset-sh,True,https://github.com/superset-sh/superset,7.1k,True,Updated minutes ago,desktop IDE,Run an army of coding agents on your machine,supplementary_open_alt,True,,,IDE for the AI-agents era; markets running multiple agents locally on your machine.,https://github.com/superset-sh/superset,medium,DONE
github_open_source,coding_agent_cli_desktop,Aider,Aider-AI,True,https://github.com/Aider-AI/aider,42k,True,Active in Mar 2026,CLI,Terminal pair-programming agent; edits files and auto-commits,close_claw_alt,False,autonomy is strong but still more pair-programmer than autonomous long-run agent,,Terminal coding agent with install helper and auto-commit workflow.,https://github.com/Aider-AI/aider,high,DONE
github_open_source,coding_agent_cli_desktop,pi-mono,badlogic,True,https://github.com/badlogic/pi-mono,24.1k,True,Updated minutes ago,CLI / TUI / web UI,AI agent toolkit with coding agent CLI,supplementary_open_alt,False,toolkit more than single macOS agent app,,"AI agent toolkit with coding agent CLI, unified LLM API, TUI and web UI libraries.",https://github.com/badlogic/pi-mono,high,DONE
github_open_source,coding_agent_cli_desktop,OpenHands-CLI,OpenHands,True,https://github.com/OpenHands-CLI/OpenHands-CLI,125,,Latest release Mar 11 2026,CLI,Terminal coding agent for OpenHands,close_claw_alt,False,<1k stars,,Standalone CLI entrypoint for OpenHands; easy macOS install via uv or curl script but below 1k stars.,https://github.com/OpenHands-CLI/OpenHands-CLI,high,DONE
github_open_source,ide_embedded_agent,Cline,cline,True,https://github.com/cline/cline,59k,True,Updated 2-3 days ago,IDE extension + CLI pieces,Autonomous coding agent using CLI/editor/browser,supplementary_open_alt,False,"primary surface is IDE extension, not macOS app/CLI",,"Autonomous coding agent in IDE; can create/edit files, execute commands, and use browser.",https://github.com/cline/cline,high,DONE
github_open_source,ide_embedded_agent,oh-my-openagent,code-yeongyu,True,https://github.com/code-yeongyu/oh-my-openagent,40.1k,,Updated Mar 14 2026,harness / repo,Agent harness for coding workflows,supplementary_open_alt,False,not clearly a packaged macOS app/CLI,,Popular open-agent harness project with recent updates; useful as claw-adjacent infrastructure.,https://github.com/code-yeongyu/oh-my-openagent,high,DONE
github_open_source,ide_embedded_agent,Roo Code,RooCodeInc,True,https://github.com/RooCodeInc/Roo-Code,22.7k,True,Updated last week,IDE extension,Whole dev-team of AI agents in editor,supplementary_open_alt,False,primary surface is editor extension,,AI-powered autonomous coding agent / multi-agent dev team inside editor.,https://github.com/RooCodeInc/Roo-Code,high,DONE
github_open_source,browser_agent,browser-use,browser-use,True,https://github.com/browser-use/browser-use,80.8k,,Updated Mar 13 2026,CLI,Persistent browser automation from command line,close_claw_alt,True,,,AI-agent-oriented browser automation with CLI that keeps browser running between commands.,https://github.com/browser-use/browser-use,high,DONE
github_open_source,browser_agent,Automa,AutomaApp,True,https://github.com/AutomaApp/automa,21.1k,,Updated Mar 2 2026,browser extension,Browser automation extension,supplementary_open_alt,False,browser extension rather than macOS app/CLI,,"Popular open-source browser automation extension, useful for automation comparison set.",https://github.com/AutomaApp/automa,high,DONE
github_open_source,browser_agent,Skyvern,Skyvern-AI,True,https://github.com/Skyvern-AI/skyvern,20.8k,True,Updated 49 minutes ago,browser workflow platform,Automate browser-based workflows with AI,close_claw_alt,False,macOS local install not explicit in captured evidence,,"AI browser-workflow automation platform; strong agentic workflow fit, often cloud-managed.",https://github.com/Skyvern-AI/skyvern,high,DONE
github_open_source,browser_agent,lightpanda browser,lightpanda-io,True,https://github.com/lightpanda-io/browser,17.9k,,Updated Mar 15 2026,browser runtime,Headless browser for AI/automation,supplementary_open_alt,False,browser infra rather than agent app,,Headless browser built for AI/automation workloads.,https://github.com/lightpanda-io/browser,high,DONE
github_open_source,browser_agent,Maxun,getmaxun,True,https://github.com/getmaxun/maxun,15.3k,,Updated Mar 14 2026,web app / browser automation,No-code AI web automation / extraction,supplementary_open_alt,False,not clearly macOS local app/CLI,,No-code browser automation / AI extraction project in recent browser-agent cluster.,https://github.com/getmaxun/maxun,high,DONE
github_open_source,browser_agent,NanoBrowser,nanobrowser,True,https://github.com/nanobrowser/nanobrowser,12.4k,False,Updated Nov 24 2025,browser extension,AI-powered web automation with multi-agent workflows,supplementary_open_alt,False,outside recent-90d window; browser extension,,Open-source Chrome extension for AI-powered web automation and multi-agent workflows.,https://github.com/nanobrowser/nanobrowser,medium,DONE
github_open_source,browser_agent,Page Agent,alibaba,True,https://github.com/alibaba/page-agent,8.7k,,Updated Mar 13 2026,browser agent / in-page GUI,Natural-language web control,supplementary_open_alt,False,not a packaged macOS app/CLI,,In-page GUI agent for natural-language browser control.,https://github.com/alibaba/page-agent,high,DONE
github_open_source,browser_agent,PinchTab,pinchtab,True,https://github.com/pinchtab/pinchtab,7.6k,,Updated Mar 15 2026,automation bridge / orchestrator,Automation bridge/orchestrator for browser tasks,supplementary_open_alt,False,not enough evidence for macOS app/CLI,,Browser-automation bridge/orchestrator in recent agent tooling cluster.,https://github.com/pinchtab/pinchtab,high,DONE
github_open_source,browser_agent,PyDoll,autoscrape-labs,True,https://github.com/autoscrape-labs/pydoll,6.7k,,Updated Mar 14 2026,Python automation lib,Browser automation library for AI tasks,supplementary_open_alt,False,library not app,,Browser automation library used for AI agents.,https://github.com/autoscrape-labs/pydoll,high,DONE
github_open_source,browser_agent,Steel Browser,steel-dev,True,https://github.com/steel-dev/steel-browser,6.7k,,Updated Mar 13 2026,browser API,Browser API for AI agents and apps,supplementary_open_alt,False,infra not packaged app,,Browser API / runtime for AI agents and apps.,https://github.com/steel-dev/steel-browser,high,DONE
github_open_source,browser_agent,browser-use desktop,browser-use,True,https://github.com/browser-use/desktop,,True,Active in Mar 2026,desktop app,Control local Chrome with desktop app,close_claw_alt,False,star count not captured cleanly,,Desktop app that controls local Chrome; paired desktop surface for browser-use.,https://github.com/browser-use/desktop,medium,DONE
github_open_source,computer_use_desktop,UI-TARS-desktop,bytedance,True,https://github.com/bytedance/UI-TARS-desktop,28.8k,,Updated Mar 10 2026,CLI + Web UI + desktop stack,General multimodal AI agent stack with GUI agent / vision,close_claw_alt,True,,,General multimodal AI agent stack; ships primarily with CLI and Web UI; part of local device computer-use story.,https://github.com/bytedance/UI-TARS-desktop,high,DONE
github_open_source,computer_use_model_stack,UI-TARS,bytedance,True,https://github.com/bytedance/UI-TARS,9.9k,,Crawled yesterday,research/model + desktop link,Native GUI interaction with local-device desktop variant,supplementary_open_alt,False,"research/model repo, not directly a macOS app/CLI",,Main UI-TARS repo points users to UI-TARS-desktop for local personal device operation.,https://github.com/bytedance/UI-TARS,medium,DONE
github_open_source,computer_use_runtime,cua,trycua,True,https://github.com/trycua/cua,13k,True,Updated within hours,CLI + desktop sandboxes,Computer-use agent infrastructure for macOS/Linux/Windows,close_claw_alt,True,,,Open-source infrastructure for computer-use agents; supports full desktops including macOS and provides CLI onboarding.,https://github.com/trycua/cua,high,DONE
github_open_source,computer_use_runtime,midscene,web-infra-dev,True,https://github.com/web-infra-dev/midscene,12.2k,,Updated Mar 13 2026,automation tooling,Vision-driven UI automation,supplementary_open_alt,False,automation toolkit not clearly standalone app,,Vision-driven UI automation project in computer-use cluster.,https://github.com/web-infra-dev/midscene,high,DONE
github_open_source,computer_use_runtime,robotgo,go-vgo,True,https://github.com/go-vgo/robotgo,10.7k,,Updated Mar 2 2026,cross-platform automation lib,Cross-platform RPA / computer-use foundation,supplementary_open_alt,False,library rather than agent app,,"Cross-platform RPA/computer-use library often used as substrate, not end-user agent.",https://github.com/go-vgo/robotgo,high,DONE
github_open_source,computer_use_runtime,Agent-S,simular-ai,True,https://github.com/simular-ai/Agent-S,10.1k,,Updated Feb 21 2026,research/code,Computer-use agent project,supplementary_open_alt,False,install/app path not explicit in captured evidence,,Computer-use agent project with >10k stars and recent activity.,https://github.com/simular-ai/Agent-S,high,DONE
github_open_source,computer_use_runtime,fara,microsoft,True,https://github.com/microsoft/fara,4.5k,,Updated Feb 11 2026,research/runtime,Agentic model for computer use,supplementary_open_alt,False,research/runtime not clearly end-user app,,Microsoft computer-use / agentic model project.,https://github.com/microsoft/fara,high,DONE
github_open_source,computer_use_runtime,open-computer-use,e2b-dev,True,https://github.com/e2b-dev/open-computer-use,1.8k,False,Updated Jun 5 2025,open computer-use stack,Computer-use tooling,supplementary_open_alt,False,outside recent-90d window,,"Open computer-use stack with >1k stars, but recency is weaker.",https://github.com/e2b-dev/open-computer-use,medium,DONE
github_open_source,computer_use_runtime,ShowUI,showlab,True,https://github.com/showlab/ShowUI,1.7k,,Updated Jan 20 2026,UI agent / model,Computer-use / UI agent project,supplementary_open_alt,False,research-style project; app path not explicit,,UI agent / ShowUI project with recent enough activity and >1k stars.,https://github.com/showlab/ShowUI,medium,DONE
github_open_source,agent_runtime_engine,AutoGPT,Significant-Gravitas,True,https://github.com/Significant-Gravitas/AutoGPT,182k,,Updated Mar 15 2026,platform / CLI / web,Classic accessible AI / autonomous agents platform,supplementary_open_alt,False,"broad platform, current macOS install path not captured here",,One of the canonical autonomous-agent projects; still recently updated.,https://github.com/Significant-Gravitas/AutoGPT,high,DONE
github_open_source,agent_runtime_engine,crewAI,crewAIInc,True,https://github.com/crewAIInc/crewAI,45.8k,True,Updated days ago,framework / Python,Orchestrating autonomous AI agents,supplementary_open_alt,False,framework rather than app,,Large multi-agent framework focused on autonomous agents.,https://github.com/crewAIInc/crewAI,high,DONE
github_open_source,agent_runtime_engine,agno,agno-agi,True,https://github.com/agno-agi/agno,38.7k,True,Updated 3 days ago,framework / runtime,"Build, run, manage agentic software at scale",supplementary_open_alt,False,runtime rather than macOS app,,Agentic software runtime with many example agents.,https://github.com/agno-agi/agno,high,DONE
github_open_source,agent_runtime_engine,Vane,ItzCrazyKns,True,https://github.com/ItzCrazyKns/Vane,33k,,Updated Mar 10 2026,answering engine / agent,AI-powered answering engine,supplementary_open_alt,False,not enough macOS app evidence,,Agentic answering engine with large star count and recent updates.,https://github.com/ItzCrazyKns/Vane,high,DONE
github_open_source,agent_runtime_engine,deer-flow,bytedance,True,https://github.com/bytedance/deer-flow,30.7k,,Updated Mar 14 2026,superagent harness,"Researches, codes, and creates",supplementary_open_alt,False,harness not clearly packaged macOS app,,SuperAgent-style harness with strong growth and recent updates.,https://github.com/bytedance/deer-flow,high,DONE
github_open_source,agent_runtime_engine,Composio,ComposioHQ,True,https://github.com/ComposioHQ/composio,27.4k,,Updated Mar 15 2026,tool/runtime,Tooling layer for agents,supplementary_open_alt,False,"tooling layer, not app",,Popular action/tooling substrate for agents.,https://github.com/ComposioHQ/composio,high,DONE
github_open_source,agent_runtime_engine,ruflo,ruvnet,True,https://github.com/ruvnet/ruflo,21.1k,,Updated Mar 9 2026,CLI / orchestration,Agent orchestration for Claude-style agents,supplementary_open_alt,False,not clearly packaged macOS app despite CLI-like surface,,Agent orchestration project with significant star traction and recent updates.,https://github.com/ruvnet/ruflo,high,DONE
github_open_source,agent_runtime_engine,pentagi,vxcontrol,True,https://github.com/vxcontrol/pentagi,9.5k,,Updated Mar 13 2026,CLI / security runtime,Fully autonomous AI agents for pentesting,supplementary_open_alt,False,security-specific runtime; macOS install not explicit,,Autonomous agent system for offensive security / pentesting.,https://github.com/vxcontrol/pentagi,high,DONE
github_open_source,agent_runtime_engine,hive,aden-hive,True,https://github.com/aden-hive/hive,9.4k,,Updated Mar 15 2026,framework / runtime,Outcome-driven agent development framework that evolves,supplementary_open_alt,False,framework rather than app,,Outcome-driven agent development framework; evolving long-running agent focus.,https://github.com/aden-hive/hive,high,DONE
github_open_source,agent_runtime_engine,edict,cft0808,True,https://github.com/cft0808/edict,9.4k,,Updated Mar 5 2026,orchestration runtime,OpenClaw multi-agent orchestration,direct_claw_ecosystem,False,orchestration layer more than end-user macOS app,,OpenClaw-oriented multi-agent orchestration project with recent activity.,https://github.com/cft0808/edict,high,DONE
github_open_source,agent_runtime_engine,Agent Reach,Panniantong,True,https://github.com/Panniantong/Agent-Reach,9.3k,True,Updated hours ago,CLI,Gives AI agents internet access,supplementary_open_alt,False,utility CLI not full autonomous app,,CLI utility that gives AI agents internet access.,https://github.com/Panniantong/Agent-Reach,medium,DONE
github_open_source,agent_runtime_engine,Upsonic,Upsonic,True,https://github.com/Upsonic/Upsonic,7.8k,,Updated Mar 13 2026,framework,Agent framework for regulated industries,supplementary_open_alt,False,framework not app,,Agent framework with strong enterprise positioning.,https://github.com/Upsonic/Upsonic,high,DONE
github_open_source,agent_runtime_engine,Yao,YaoApp,True,https://github.com/YaoApp/yao,7.5k,,Updated Mar 14 2026,runtime / CLI / web,Event-driven autonomous agents with proactive self-scheduling,supplementary_open_alt,False,runtime/engine rather than packaged macOS app,,"Open-source engine for autonomous agents; event-driven, proactive, self-scheduling.",https://github.com/YaoApp/yao,high,DONE
github_open_source,agent_runtime_engine,Strands Agents SDK,strands-agents,True,https://github.com/strands-agents/sdk-python,5.3k,,Updated Mar 12 2026,SDK,Python SDK for agents,supplementary_open_alt,False,SDK not app,,Recent agent SDK with >5k stars.,https://github.com/strands-agents/sdk-python,high,DONE
github_open_source,agent_runtime_engine,x-cmd,x-cmd,True,https://github.com/x-cmd/x-cmd,4.1k,True,Updated days ago,CLI,Buddy for AI agents,supplementary_open_alt,False,"agent helper CLI, not clearly autonomous app",,Cross-shell CLI helper oriented toward AI agents.,https://github.com/x-cmd/x-cmd,medium,DONE
github_open_source,agent_runtime_engine,neo,neomjs,True,https://github.com/neomjs/neo,3.2k,,Updated Mar 15 2026,runtime,Runtime for AI-native apps,supplementary_open_alt,False,runtime rather than app; macOS install not explicit,,Runtime for AI-native apps; recent activity and agent-app positioning.,https://github.com/neomjs/neo,medium,DONE
github_open_source,agent_runtime_engine,Bindu,GetBindu,True,https://github.com/GetBindu/Bindu,1.6k,,Updated Mar 9 2026,runtime / service,Turn any AI agent into a living microservice,supplementary_open_alt,False,not clearly a macOS app/CLI agent surface,,Turns AI agents into long-running microservices; useful for autonomous deployments.,https://github.com/GetBindu/Bindu,high,DONE
github_open_source,agent_runtime_engine,Adala,HumanSignal,True,https://github.com/HumanSignal/Adala,1.4k,,Updated Mar 14 2026,Python / service,Autonomous agents for data labeling workflows,supplementary_open_alt,False,not clearly a packaged macOS agent app,,Autonomous agent framework for data workflows; recent activity and >1k stars.,https://github.com/HumanSignal/Adala,high,DONE
non_github_product,non_github_macos_app,Atomic Bot,Atomic Bot,False,https://atomicbot.ai/,,True,Published last month / 4 days ago,macOS app,One-click OpenClaw app; can message first and run recurring tasks,direct_claw_ecosystem,,,True,One-click OpenClaw macOS app; Product Hunt and vendor site say it gets to a running local OpenClaw agent in ~60 seconds; marketed as private/local/open-source.,https://atomicbot.ai/ | https://www.producthunt.com/products/atomic-bot,high,DONE
non_github_product,non_github_macos_app,KatClaw,KatClaw,False,https://katclaw.ai/,,True,Published last week / 4 days ago,macOS app,One-click installer and manager for OpenClaw on macOS,direct_claw_ecosystem,,,True,Native Mac app that turns OpenClaw into one-click setup and control surface.,https://katclaw.ai/ | https://www.producthunt.com/products/katclaw-mac-automation-made-easy,high,DONE
non_github_product,non_github_macos_app,ClawApp,Sahara AI / ClawApp,False,https://clawapp.saharaai.com/,,True,Published last month / 4 weeks ago,macOS app,Install/manage/run local OpenClaw agents without configuration,direct_claw_ecosystem,,,True,macOS desktop app for OpenClaw bots; guided install and local agent management.,https://clawapp.saharaai.com/ | https://www.producthunt.com/products/clawapp,high,DONE
non_github_product,non_github_macos_app,KiloClaw,Kilo,False,https://kilo.ai/kiloclaw,,True,Published 2 days ago / 2 weeks ago,hosted OpenClaw service (not local macOS app),Managed hosted OpenClaw,direct_claw_ecosystem,,not a macOS app,False,Hosted OpenClaw rather than local macOS app; included for ecosystem completeness.,https://kilo.ai/kiloclaw | https://www.producthunt.com/products/kiloclaw,high,DONE
non_github_product,non_github_macos_app,Perplexity Personal Computer,Perplexity,False,https://www.theverge.com/ai-artificial-intelligence/893536/perplexitys-personal-computer-turns-your-spare-mac-into-an-ai-agent,,,Published Mar 11-12 2026,Mac mini / macOS-linked local hardware,24/7 AI agent on spare Mac,close_claw_alt,,,True,"Perplexity's Mac-based 24/7 AI agent concept; waitlist product, not open source.",https://www.theverge.com/ai-artificial-intelligence/893536/perplexitys-personal-computer-turns-your-spare-mac-into-an-ai-agent | https://thenextweb.com/news/perplexity-personal-computer-enterprise,high,DONE
non_github_product,non_github_macos_app,Codex app for macOS,OpenAI,False,https://openai.com/index/introducing-the-codex-app/,,True,Published last month,macOS app,Command center for multiple coding agents and long-running tasks,close_claw_alt,,,True,Native macOS app for multi-agent coding workflows and long-running tasks.,https://openai.com/index/introducing-the-codex-app/ | https://techcrunch.com/2026/02/02/openai-launches-new-macos-app-for-agentic-coding/,high,DONE
non_github_product,non_github_macos_app,Claude Agent in Xcode,Anthropic / Apple,False,https://www.apple.com/newsroom/2026/02/xcode-26-point-3-unlocks-the-power-of-agentic-coding/,,True,Published Feb 2026,Xcode on macOS,Agentic coding inside Xcode,close_claw_alt,,,True,Apple says Xcode 26.3 supports coding agents such as Anthropic's Claude Agent; macOS developer surface rather than standalone app.,https://www.apple.com/newsroom/2026/02/xcode-26-point-3-unlocks-the-power-of-agentic-coding/ | https://9to5mac.com/2026/02/03/apple-announces-agentic-coding-in-xcode-with-claude-agent-and-codex-integration/,medium,DONE
